source,relation,target
review:AfLE_NgwCuP7JQe9rcFj7w,hasExtract,aspect:AfLE_NgwCuP7JQe9rcFj7w#6
aspect:AfLE_NgwCuP7JQe9rcFj7w#6,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasOpinion,opinion:absolutely exceptional meal
user:_N6Kk4a32GmLt7f15MdyRw,hasReview,review:NYv33Pb4ga2_vE3s2VDAyQ
business:fDZ0K02rYnbDht2STz2GCQ,hasReview,review:NYv33Pb4ga2_vE3s2VDAyQ
review:NYv33Pb4ga2_vE3s2VDAyQ,hasExtract,aspect:NYv33Pb4ga2_vE3s2VDAyQ#1
aspect:NYv33Pb4ga2_vE3s2VDAyQ#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:amazing flavor
review:NYv33Pb4ga2_vE3s2VDAyQ,hasExtract,aspect:NYv33Pb4ga2_vE3s2VDAyQ#2
aspect:NYv33Pb4ga2_vE3s2VDAyQ#2,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Experience
detail:Experience,hasOpinion,opinion:prompt
review:NYv33Pb4ga2_vE3s2VDAyQ,hasExtract,aspect:NYv33Pb4ga2_vE3s2VDAyQ#3
aspect:NYv33Pb4ga2_vE3s2VDAyQ#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:great attitude
user:nQpgkgFfZSPZNtvA1jjRZg,hasReview,review:_tFryZi9POc1z-A_opOk9Q
business:2sp5J1TTPz9KNHmoXzEUAg,hasReview,review:_tFryZi9POc1z-A_opOk9Q
review:_tFryZi9POc1z-A_opOk9Q,hasExtract,aspect:_tFryZi9POc1z-A_opOk9Q#1
aspect:_tFryZi9POc1z-A_opOk9Q#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:wings & nachos look fantastic
review:_tFryZi9POc1z-A_opOk9Q,hasExtract,aspect:_tFryZi9POc1z-A_opOk9Q#2
aspect:_tFryZi9POc1z-A_opOk9Q#2,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Entertainment
subcategory:Entertainment,hasDetail,detail:Live Performance
detail:Live Performance,hasOpinion,opinion:has line dancing
review:_tFryZi9POc1z-A_opOk9Q,hasExtract,aspect:_tFryZi9POc1z-A_opOk9Q#3
aspect:_tFryZi9POc1z-A_opOk9Q#3,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Entertainment
subcategory:Entertainment,hasDetail,detail:Music
detail:Music,hasOpinion,opinion:newer country songs provide a different experience
review:_tFryZi9POc1z-A_opOk9Q,hasExtract,aspect:_tFryZi9POc1z-A_opOk9Q#4
aspect:_tFryZi9POc1z-A_opOk9Q#4,hasCategory,category:Discount/Offer
category:Discount/Offer,hasSubcategory,subcategory:Happy Hours
subcategory:Happy Hours,hasOpinion,opinion:happy hour with a friend
review:_tFryZi9POc1z-A_opOk9Q,hasExtract,aspect:_tFryZi9POc1z-A_opOk9Q#5
aspect:_tFryZi9POc1z-A_opOk9Q#5,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:average bar fair
user:5JLxW_HR_QsmHElCo9bz0g,hasReview,review:SbJjckfO2buvDwm8dzT3sg
business:Gku9f-9PKkYqLhPGgD1WGA,hasReview,review:SbJjckfO2buvDwm8dzT3sg
review:SbJjckfO2buvDwm8dzT3sg,hasExtract,aspect:SbJjckfO2buvDwm8dzT3sg#1
aspect:SbJjckfO2buvDwm8dzT3sg#1,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Entertainment
subcategory:Entertainment,hasDetail,detail:TV
detail:TV,hasOpinion,"opinion:didn't have the game on television, only SportsCenter"
review:SbJjckfO2buvDwm8dzT3sg,hasExtract,aspect:SbJjckfO2buvDwm8dzT3sg#2
aspect:SbJjckfO2buvDwm8dzT3sg#2,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:bartender seemed put off about changing the channel
review:SbJjckfO2buvDwm8dzT3sg,hasExtract,aspect:SbJjckfO2buvDwm8dzT3sg#3
aspect:SbJjckfO2buvDwm8dzT3sg#3,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Waiting
subcategory:Waiting,hasOpinion,opinion:waited approximately 15 minutes for the bartender to tune the TV
review:SbJjckfO2buvDwm8dzT3sg,hasExtract,aspect:SbJjckfO2buvDwm8dzT3sg#4
aspect:SbJjckfO2buvDwm8dzT3sg#4,hasCategory,category:Discount/Offer
category:Discount/Offer,hasOpinion,"opinion:sign advertised free mozzarella sticks with a drink but the promotion was not honored, false advertising"
review:SbJjckfO2buvDwm8dzT3sg,hasExtract,aspect:SbJjckfO2buvDwm8dzT3sg#5
aspect:SbJjckfO2buvDwm8dzT3sg#5,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:beers were ice cold and very refreshing
review:SbJjckfO2buvDwm8dzT3sg,hasExtract,aspect:SbJjckfO2buvDwm8dzT3sg#6
aspect:SbJjckfO2buvDwm8dzT3sg#6,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Appetizers
subcategory:Appetizers,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:appetizer sampler was quite tasty
review:SbJjckfO2buvDwm8dzT3sg,hasExtract,aspect:SbJjckfO2buvDwm8dzT3sg#7
aspect:SbJjckfO2buvDwm8dzT3sg#7,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,"opinion:hostess was very nice, kept smiling and held the door"
user:DQGaPJyHlbD55mzrdySZZw,hasReview,review:c12yW18R5wtIw4hPs5rrPQ
business:iAE5tMDs1XSudlEzG-Z3aA,hasReview,review:c12yW18R5wtIw4hPs5rrPQ
review:c12yW18R5wtIw4hPs5rrPQ,hasExtract,aspect:c12yW18R5wtIw4hPs5rrPQ#1
aspect:c12yW18R5wtIw4hPs5rrPQ#1,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Located area
subcategory:Located area,hasOpinion,opinion:Santa Barbara
review:c12yW18R5wtIw4hPs5rrPQ,hasExtract,aspect:c12yW18R5wtIw4hPs5rrPQ#2
aspect:c12yW18R5wtIw4hPs5rrPQ#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:quality of the food rocks
review:c12yW18R5wtIw4hPs5rrPQ,hasExtract,aspect:c12yW18R5wtIw4hPs5rrPQ#3
aspect:c12yW18R5wtIw4hPs5rrPQ#3,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Places or Areas
subcategory:Places or Areas,hasDetail,detail:Buffet
detail:Buffet,hasOpinion,opinion:including the lunch buffet
review:c12yW18R5wtIw4hPs5rrPQ,hasExtract,aspect:c12yW18R5wtIw4hPs5rrPQ#4
aspect:c12yW18R5wtIw4hPs5rrPQ#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:Everything was fresh
review:c12yW18R5wtIw4hPs5rrPQ,hasExtract,aspect:c12yW18R5wtIw4hPs5rrPQ#5
aspect:c12yW18R5wtIw4hPs5rrPQ#5,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:tastes like it was made a la carte
review:c12yW18R5wtIw4hPs5rrPQ,hasExtract,aspect:c12yW18R5wtIw4hPs5rrPQ#6
aspect:c12yW18R5wtIw4hPs5rrPQ#6,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasOpinion,opinion:Love it!
user:pQmgxFdue8tfJXAO4Z1P_Q,hasReview,review:7_42Glwp9iqK8tUmNizzDQ
business:t5T6NYFsOqnYl0NETDgj7g,hasReview,review:7_42Glwp9iqK8tUmNizzDQ
review:7_42Glwp9iqK8tUmNizzDQ,hasExtract,aspect:7_42Glwp9iqK8tUmNizzDQ#1
aspect:7_42Glwp9iqK8tUmNizzDQ#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:pumpkin with pork was excellent
review:7_42Glwp9iqK8tUmNizzDQ,hasExtract,aspect:7_42Glwp9iqK8tUmNizzDQ#2
aspect:7_42Glwp9iqK8tUmNizzDQ#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:bitter flower salad ... best for those with adventurous taste
review:7_42Glwp9iqK8tUmNizzDQ,hasExtract,aspect:7_42Glwp9iqK8tUmNizzDQ#3
aspect:7_42Glwp9iqK8tUmNizzDQ#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:Seafood curry was quite yummy
review:7_42Glwp9iqK8tUmNizzDQ,hasExtract,aspect:7_42Glwp9iqK8tUmNizzDQ#4
aspect:7_42Glwp9iqK8tUmNizzDQ#4,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Delivery
subcategory:Delivery,hasDetail,detail:Ordering Method
detail:Ordering Method,hasOpinion,opinion:Only ordered take out
user:VBh4dzHRgiC0YkCgvkwVVg,hasReview,review:gLgT3sDwnhNzIbQX_RI2Fg
business:RmJJ979n9a2AZLUSe7_X6Q,hasReview,review:gLgT3sDwnhNzIbQX_RI2Fg
review:gLgT3sDwnhNzIbQX_RI2Fg,hasExtract,aspect:gLgT3sDwnhNzIbQX_RI2Fg#1
aspect:gLgT3sDwnhNzIbQX_RI2Fg#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:such a great Bandeja Paisa
review:gLgT3sDwnhNzIbQX_RI2Fg,hasExtract,aspect:gLgT3sDwnhNzIbQX_RI2Fg#2
aspect:gLgT3sDwnhNzIbQX_RI2Fg#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Size
detail:Size,hasOpinion,opinion:very very big
review:gLgT3sDwnhNzIbQX_RI2Fg,hasExtract,aspect:gLgT3sDwnhNzIbQX_RI2Fg#3
aspect:gLgT3sDwnhNzIbQX_RI2Fg#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:service was excellent
user:lJvlZp9Ep9l0FE1DK7RMAg,hasReview,review:sbFNqaRpshfw5DUKxjlYlQ
business:SfV5jicDlU_9hNVINxmPpg,hasReview,review:sbFNqaRpshfw5DUKxjlYlQ
review:sbFNqaRpshfw5DUKxjlYlQ,hasExtract,aspect:sbFNqaRpshfw5DUKxjlYlQ#1
aspect:sbFNqaRpshfw5DUKxjlYlQ#1,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Payment
subcategory:Payment,hasDetail,detail:Method
detail:Method,hasOpinion,opinion:ordered and paid through the yelp app
review:sbFNqaRpshfw5DUKxjlYlQ,hasExtract,aspect:sbFNqaRpshfw5DUKxjlYlQ#2
aspect:sbFNqaRpshfw5DUKxjlYlQ#2,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Experience
detail:Experience,hasOpinion,opinion:staff was unaware of the online order
review:sbFNqaRpshfw5DUKxjlYlQ,hasExtract,aspect:sbFNqaRpshfw5DUKxjlYlQ#3
aspect:sbFNqaRpshfw5DUKxjlYlQ#3,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Waiting
subcategory:Waiting,hasOpinion,opinion:waited a few minutes for the food to be prepared
review:sbFNqaRpshfw5DUKxjlYlQ,hasExtract,aspect:sbFNqaRpshfw5DUKxjlYlQ#4
aspect:sbFNqaRpshfw5DUKxjlYlQ#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:hot and fresh
review:sbFNqaRpshfw5DUKxjlYlQ,hasExtract,aspect:sbFNqaRpshfw5DUKxjlYlQ#5
aspect:sbFNqaRpshfw5DUKxjlYlQ#5,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Dishes & bowls
subcategory:Dishes & bowls,hasOpinion,opinion:flimsiest foam container with a crappy hinge
review:sbFNqaRpshfw5DUKxjlYlQ,hasExtract,aspect:sbFNqaRpshfw5DUKxjlYlQ#6
aspect:sbFNqaRpshfw5DUKxjlYlQ#6,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:food was cold
user:NC1el_6NYaj7RlLhFRq3kg,hasReview,review:2bJVqEbR16xNbg-tdX6iYg
business:yvBDnfgVQy_hCDGj3Hy00w,hasReview,review:2bJVqEbR16xNbg-tdX6iYg
review:2bJVqEbR16xNbg-tdX6iYg,hasExtract,aspect:2bJVqEbR16xNbg-tdX6iYg#1
aspect:2bJVqEbR16xNbg-tdX6iYg#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:nice and helpful staff
review:2bJVqEbR16xNbg-tdX6iYg,hasExtract,aspect:2bJVqEbR16xNbg-tdX6iYg#2
aspect:2bJVqEbR16xNbg-tdX6iYg#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Dessert
subcategory:Dessert,hasOpinion,opinion:ice creamery is a great addition
review:2bJVqEbR16xNbg-tdX6iYg,hasExtract,aspect:2bJVqEbR16xNbg-tdX6iYg#3
aspect:2bJVqEbR16xNbg-tdX6iYg#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasOpinion,opinion:beers on tap are great
user:VX7wSS5dCrU7Dhk-OheKQg,hasReview,review:XvYvkyfxQ0LUsvOx6JC5dA
business:2uTT4-ZY21p_Py4pmbrbTg,hasReview,review:XvYvkyfxQ0LUsvOx6JC5dA
review:XvYvkyfxQ0LUsvOx6JC5dA,hasExtract,aspect:XvYvkyfxQ0LUsvOx6JC5dA#1
aspect:XvYvkyfxQ0LUsvOx6JC5dA#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:great quality of fish (sashimi)
review:XvYvkyfxQ0LUsvOx6JC5dA,hasExtract,aspect:XvYvkyfxQ0LUsvOx6JC5dA#2
aspect:XvYvkyfxQ0LUsvOx6JC5dA#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:fantastic rolls
review:XvYvkyfxQ0LUsvOx6JC5dA,hasExtract,aspect:XvYvkyfxQ0LUsvOx6JC5dA#3
aspect:XvYvkyfxQ0LUsvOx6JC5dA#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Appetizers
subcategory:Appetizers,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:Sashimi speaks volumes to the quality of the fish
review:XvYvkyfxQ0LUsvOx6JC5dA,hasExtract,aspect:XvYvkyfxQ0LUsvOx6JC5dA#4
aspect:XvYvkyfxQ0LUsvOx6JC5dA#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Appetizers
subcategory:Appetizers,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:Sashimi is usually the indicator of taste
review:XvYvkyfxQ0LUsvOx6JC5dA,hasExtract,aspect:XvYvkyfxQ0LUsvOx6JC5dA#5
aspect:XvYvkyfxQ0LUsvOx6JC5dA#5,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasOpinion,opinion:hands down one of my favorites
user:PaSeYftKxpE0Dih-XkZUzA,hasReview,review:C5rCoXlnK4BJMK889PGtAg
business:XDlOFRDWQGVjzlvUs1X5Iw,hasReview,review:C5rCoXlnK4BJMK889PGtAg
review:C5rCoXlnK4BJMK889PGtAg,hasExtract,aspect:C5rCoXlnK4BJMK889PGtAg#1
aspect:C5rCoXlnK4BJMK889PGtAg#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:Great bartenders and everyone is VERY friendly
review:C5rCoXlnK4BJMK889PGtAg,hasExtract,aspect:C5rCoXlnK4BJMK889PGtAg#2
aspect:C5rCoXlnK4BJMK889PGtAg#2,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:The Decor
subcategory:The Decor,hasOpinion,opinion:cool looking interior
review:C5rCoXlnK4BJMK889PGtAg,hasExtract,aspect:C5rCoXlnK4BJMK889PGtAg#3
aspect:C5rCoXlnK4BJMK889PGtAg#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Price
detail:Price,hasOpinion,opinion:good prices
review:C5rCoXlnK4BJMK889PGtAg,hasExtract,aspect:C5rCoXlnK4BJMK889PGtAg#4
aspect:C5rCoXlnK4BJMK889PGtAg#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasOpinion,opinion:Tons of different beers
review:C5rCoXlnK4BJMK889PGtAg,hasExtract,aspect:C5rCoXlnK4BJMK889PGtAg#5
aspect:C5rCoXlnK4BJMK889PGtAg#5,hasCategory,category:Discount/Offer
category:Discount/Offer,hasSubcategory,subcategory:Happy Hours
subcategory:Happy Hours,hasOpinion,opinion:will be coming back for a happy hour or two
review:C5rCoXlnK4BJMK889PGtAg,hasExtract,aspect:C5rCoXlnK4BJMK889PGtAg#6
aspect:C5rCoXlnK4BJMK889PGtAg#6,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Environment
subcategory:Environment,hasDetail,detail:Size
detail:Size,hasOpinion,opinion:crowds on weekend evenings
user:7QN4yZaezQefZcIkdKHNXA,hasReview,review:0Jq1zUiYSMveVf_afQxFQw
business:EME5hqQLjBD7e2cLryupbA,hasReview,review:0Jq1zUiYSMveVf_afQxFQw
review:0Jq1zUiYSMveVf_afQxFQw,hasExtract,aspect:0Jq1zUiYSMveVf_afQxFQw#1
aspect:0Jq1zUiYSMveVf_afQxFQw#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:pleasantly different
review:0Jq1zUiYSMveVf_afQxFQw,hasExtract,aspect:0Jq1zUiYSMveVf_afQxFQw#2
aspect:0Jq1zUiYSMveVf_afQxFQw#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Appetizers
subcategory:Appetizers,hasOpinion,opinion:oysters & crawfish bread appetizer left very satisfied
user:Oe3gy23-vDcCTjIuKojOTA,hasReview,review:TW9tN0jYZPYoVEaFGAb8zA
business:78e90HO_R40SyzBr4fnHSA,hasReview,review:TW9tN0jYZPYoVEaFGAb8zA
review:TW9tN0jYZPYoVEaFGAb8zA,hasExtract,aspect:TW9tN0jYZPYoVEaFGAb8zA#1
aspect:TW9tN0jYZPYoVEaFGAb8zA#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:very friendly and nice
review:TW9tN0jYZPYoVEaFGAb8zA,hasExtract,aspect:TW9tN0jYZPYoVEaFGAb8zA#2
aspect:TW9tN0jYZPYoVEaFGAb8zA#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:very delicious
review:TW9tN0jYZPYoVEaFGAb8zA,hasExtract,aspect:TW9tN0jYZPYoVEaFGAb8zA#3
aspect:TW9tN0jYZPYoVEaFGAb8zA#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Delivery
subcategory:Delivery,hasDetail,detail:Time
detail:Time,hasOpinion,opinion:food came out quick
review:TW9tN0jYZPYoVEaFGAb8zA,hasExtract,aspect:TW9tN0jYZPYoVEaFGAb8zA#4
aspect:TW9tN0jYZPYoVEaFGAb8zA#4,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Located area
subcategory:Located area,hasOpinion,opinion:Location right downtown is very convenient
user:5gT1R-EthZ3eGsrP8r79dg,hasReview,review:JxBklMaB7g_ia-QRkrtxMQ
business:CLUKvU_lTOcCQi6_24lzOg,hasReview,review:JxBklMaB7g_ia-QRkrtxMQ
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#1
aspect:JxBklMaB7g_ia-QRkrtxMQ#1,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasDetail,detail:Stars given by customers
detail:Stars given by customers,hasOpinion,opinion:Three stars not 3.5 or 4
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#2
aspect:JxBklMaB7g_ia-QRkrtxMQ#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,"opinion:Bang bang shrimp, ceviche and ciabatta loaf with infused EVOO were quite good"
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#3
aspect:JxBklMaB7g_ia-QRkrtxMQ#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:Shrimp crispy but lettuce garnish not fresh
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#4
aspect:JxBklMaB7g_ia-QRkrtxMQ#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:Seafood ceviche was citrusy but not offensive
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#5
aspect:JxBklMaB7g_ia-QRkrtxMQ#5,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:Sea bass with truffle butter was excellent
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#6
aspect:JxBklMaB7g_ia-QRkrtxMQ#6,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:Haricot vert were cooked perfectly
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#7
aspect:JxBklMaB7g_ia-QRkrtxMQ#7,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,"opinion:Broccoli rabe although flavorful was tough, fibrous ends need to be trimmed more"
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#8
aspect:JxBklMaB7g_ia-QRkrtxMQ#8,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:Snapper special with shrimp executed well and met her expectations
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#9
aspect:JxBklMaB7g_ia-QRkrtxMQ#9,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Dessert
subcategory:Dessert,hasDetail,detail:Quality
detail:Quality,hasOpinion,"opinion:Pumpkin crème brûlée was very rich, creamy and smooth"
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#10
aspect:JxBklMaB7g_ia-QRkrtxMQ#10,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasOpinion,opinion:A bottle of chard and a coffee were also part of the meal
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#11
aspect:JxBklMaB7g_ia-QRkrtxMQ#11,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:Server was a bit late on the initial welcome and took several minutes to get water
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#12
aspect:JxBklMaB7g_ia-QRkrtxMQ#12,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,"opinion:Service was attentive, polite and execution good but not polished"
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#13
aspect:JxBklMaB7g_ia-QRkrtxMQ#13,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,"opinion:Food runners auctioning off food, splatter on plates and spotty silverware"
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#14
aspect:JxBklMaB7g_ia-QRkrtxMQ#14,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:Three employees at the hostess stand did not say goodbye
review:JxBklMaB7g_ia-QRkrtxMQ,hasExtract,aspect:JxBklMaB7g_ia-QRkrtxMQ#15
aspect:JxBklMaB7g_ia-QRkrtxMQ#15,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,"opinion:Spent over $200 for two hours, about $100 an hour"
user:eyvhQWSbb7vLGCxQn3WGxg,hasReview,review:ufdccZ_Tpn-YpLJOVTh9Hg
business:KXecZki-_3N7afs6HKWM3A,hasReview,review:ufdccZ_Tpn-YpLJOVTh9Hg
review:ufdccZ_Tpn-YpLJOVTh9Hg,hasExtract,aspect:ufdccZ_Tpn-YpLJOVTh9Hg#1
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Seating
subcategory:Seating,hasOpinion,opinion:got a table pretty quick
review:ufdccZ_Tpn-YpLJOVTh9Hg,hasExtract,aspect:ufdccZ_Tpn-YpLJOVTh9Hg#2
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:underwhelmed by flat cold salad with mushy green peppers and tasteless radish
